,name,verified,author_id,location,username,url,created_at,public_metrics.followers_count,public_metrics.following_count,public_metrics.tweet_count,public_metrics.listed_count,entities.url.urls,entities.description.urls,entities.description.mentions,entities.description.hashtags
0,DarkWeb Haber,True,1051902349445345280,Türkiye,Darkwebhaber,https://t.co/fWr9Fz4lrp,2018-10-15T18:27:18.000Z,978216,115,73510,1180,"[{'start': 0, 'end': 23, 'url': 'https://t.co/fWr9Fz4lrp', 'expanded_url': 'http://t.me/DarkWebHaber0', 'display_url': 't.me/DarkWebHaber0'}]",,,
1,DarkWeb Haber,True,1051902349445345280,Türkiye,Darkwebhaber,https://t.co/fWr9Fz4lrp,2018-10-15T18:27:18.000Z,978216,115,73510,1180,"[{'start': 0, 'end': 23, 'url': 'https://t.co/fWr9Fz4lrp', 'expanded_url': 'http://t.me/DarkWebHaber0', 'display_url': 't.me/DarkWebHaber0'}]",,,
2,DarkWeb Haber,True,1051902349445345280,Türkiye,Darkwebhaber,https://t.co/fWr9Fz4lrp,2018-10-15T18:27:18.000Z,978216,115,73510,1180,"[{'start': 0, 'end': 23, 'url': 'https://t.co/fWr9Fz4lrp', 'expanded_url': 'http://t.me/DarkWebHaber0', 'display_url': 't.me/DarkWebHaber0'}]",,,
3,DarkWeb Haber,True,1051902349445345280,Türkiye,Darkwebhaber,https://t.co/fWr9Fz4lrp,2018-10-15T18:27:18.000Z,978216,115,73510,1180,"[{'start': 0, 'end': 23, 'url': 'https://t.co/fWr9Fz4lrp', 'expanded_url': 'http://t.me/DarkWebHaber0', 'display_url': 't.me/DarkWebHaber0'}]",,,
4,DarkWeb Haber,True,1051902349445345280,Türkiye,Darkwebhaber,https://t.co/fWr9Fz4lrp,2018-10-15T18:27:18.000Z,978216,115,73510,1180,"[{'start': 0, 'end': 23, 'url': 'https://t.co/fWr9Fz4lrp', 'expanded_url': 'http://t.me/DarkWebHaber0', 'display_url': 't.me/DarkWebHaber0'}]",,,
5,DarkWeb Haber,True,1051902349445345280,Türkiye,Darkwebhaber,https://t.co/fWr9Fz4lrp,2018-10-15T18:27:18.000Z,978216,115,73510,1180,"[{'start': 0, 'end': 23, 'url': 'https://t.co/fWr9Fz4lrp', 'expanded_url': 'http://t.me/DarkWebHaber0', 'display_url': 't.me/DarkWebHaber0'}]",,,
6,DarkWeb Haber,True,1051902349445345280,Türkiye,Darkwebhaber,https://t.co/fWr9Fz4lrp,2018-10-15T18:27:18.000Z,978216,115,73510,1180,"[{'start': 0, 'end': 23, 'url': 'https://t.co/fWr9Fz4lrp', 'expanded_url': 'http://t.me/DarkWebHaber0', 'display_url': 't.me/DarkWebHaber0'}]",,,
7,DarkWeb Haber,True,1051902349445345280,Türkiye,Darkwebhaber,https://t.co/fWr9Fz4lrp,2018-10-15T18:27:18.000Z,978216,115,73510,1180,"[{'start': 0, 'end': 23, 'url': 'https://t.co/fWr9Fz4lrp', 'expanded_url': 'http://t.me/DarkWebHaber0', 'display_url': 't.me/DarkWebHaber0'}]",,,
8,DarkWeb Haber,True,1051902349445345280,Türkiye,Darkwebhaber,https://t.co/fWr9Fz4lrp,2018-10-15T18:27:18.000Z,978216,115,73510,1180,"[{'start': 0, 'end': 23, 'url': 'https://t.co/fWr9Fz4lrp', 'expanded_url': 'http://t.me/DarkWebHaber0', 'display_url': 't.me/DarkWebHaber0'}]",,,
9,DarkWeb Haber,True,1051902349445345280,Türkiye,Darkwebhaber,https://t.co/fWr9Fz4lrp,2018-10-15T18:27:18.000Z,978216,115,73510,1180,"[{'start': 0, 'end': 23, 'url': 'https://t.co/fWr9Fz4lrp', 'expanded_url': 'http://t.me/DarkWebHaber0', 'display_url': 't.me/DarkWebHaber0'}]",,,
